Radius;Image49;Image50;Image51;Image52;Image53;Image54;Image55;Image56;Image57;Image58;Image59;Image60;Image61;Image61;Image62;Image63;Image64;Image65;Image66;Image67
10;3;1;1;1;7;1;1;1;1;2;1;1;1;1;1;1;1;1;4;7
11;3;1;1;1;7;1;1;1;4;3;1;1;1;1;1;3;3;2;7;7
12;7;1;1;1;10;2;2;3;6;2;1;2;1;1;1;5;3;6;9;6
13;6;1;1;3;9;4;1;7;14;8;1;7;4;1;1;3;4;8;7;10
14;8;2;1;5;11;4;1;11;14;7;2;7;5;1;1;8;3;3;7;13
15;12;3;1;7;7;7;3;16;10;8;1;7;12;1;1;8;2;4;5;10
16;9;5;1;5;12;6;8;13;10;7;5;2;13;1;2;9;2;7;4;8
17;8;5;1;6;9;8;5;14;12;12;6;5;15;3;3;10;2;11;6;8
18;9;7;1;7;5;9;6;10;17;12;5;4;18;3;2;7;2;15;4;7
19;7;6;1;5;5;6;14;13;14;18;7;9;17;2;6;9;3;21;7;7
20;10;8;3;5;5;11;8;11;12;18;14;12;21;5;3;9;3;18;6;8
21;10;11;2;6;3;12;12;19;13;17;17;13;15;5;3;9;3;19;8;7
22;8;11;2;9;4;10;8;10;15;17;12;10;14;11;5;11;7;10;7;8
23;8;10;4;9;4;11;3;13;15;13;10;10;13;10;5;8;7;10;9;9
24;6;13;4;10;3;13;7;19;19;12;15;6;15;16;7;10;10;11;12;6
25;8;13;7;9;2;11;6;8;18;13;17;4;11;13;5;10;9;14;12;6
26;7;11;16;10;2;12;5;10;22;14;20;6;9;19;5;11;13;18;12;9
27;5;7;16;13;3;11;5;16;15;6;19;8;7;22;9;13;13;13;11;14
28;6;8;12;10;3;15;5;16;17;8;20;5;8;16;10;12;11;13;13;9
29;6;10;22;6;2;17;10;9;14;11;17;5;10;24;10;15;10;21;11;9
30;5;11;21;14;4;20;10;12;13;9;22;6;12;24;15;13;12;18;10;8
31;5;12;19;12;3;16;6;8;14;10;20;9;10;18;11;16;12;15;8;10
32;4;13;28;16;3;17;5;6;19;12;19;4;5;23;9;13;9;15;7;12
33;5;12;18;17;3;13;14;6;15;12;21;8;5;25;18;16;8;14;6;8
34;6;19;16;15;4;14;12;19;16;12;16;2;6;23;20;23;6;10;5;12
35;7;20;12;14;4;12;7;18;16;9;21;5;9;26;24;21;6;10;3;12
36;7;28;18;11;4;11;10;17;12;8;21;7;7;20;33;15;8;8;3;13
37;8;30;23;12;3;10;13;12;13;11;21;7;10;18;43;13;9;11;4;10
38;5;28;22;12;3;7;10;10;14;13;16;5;10;17;56;9;10;12;5;10
39;3;32;27;12;4;7;13;8;11;11;17;7;10;19;61;7;10;8;5;11
40;4;34;30;9;3;10;8;11;11;13;13;6;14;22;52;8;7;9;3;9
41;3;41;28;12;3;15;13;9;9;9;9;7;12;13;53;13;10;7;3;5
42;1;37;21;12;4;11;14;6;8;11;15;8;9;14;47;11;7;6;3;6
43;1;39;21;13;4;12;9;9;8;7;14;7;11;9;38;9;8;7;4;5
44;1;35;23;10;3;11;8;3;7;7;15;8;9;9;48;7;6;6;6;5
45;1;28;23;11;3;15;12;2;8;6;18;8;9;8;44;5;7;7;6;6
46;2;27;23;13;4;9;9;3;11;3;19;6;8;6;42;3;5;7;8;4
47;1;23;23;11;3;7;11;2;11;3;14;7;7;9;25;5;2;7;3;7
48;1;16;21;10;4;8;8;2;13;4;16;10;5;14;23;4;1;9;1;7
49;1;14;24;12;3;11;6;5;12;8;17;10;6;8;17;7;3;9;1;6
50;2;12;24;11;3;14;9;4;16;6;10;8;4;7;16;4;4;8;1;6
51;1;9;21;9;3;9;3;3;8;5;7;14;6;13;12;5;2;3;0;6
52;1;8;23;9;3;7;8;6;9;9;10;10;4;6;8;4;3;5;0;5
53;1;9;16;8;3;4;12;4;6;14;12;17;4;5;6;3;2;5;0;4
54;1;9;12;7;4;4;23;9;8;12;8;17;8;7;1;4;1;6;0;5
55;1;7;12;7;4;5;16;4;8;12;6;15;8;5;2;1;4;6;0;4
56;1;6;7;5;3;6;12;6;5;12;6;20;8;5;0;2;2;5;0;4
57;1;4;9;8;2;7;14;2;2;9;4;16;5;3;1;2;1;5;0;4
58;1;4;9;5;2;3;12;4;2;11;5;13;4;4;0;2;2;5;0;3
59;1;6;6;3;2;10;12;1;2;12;5;16;12;5;0;0;1;5;0;1
60;1;4;10;5;3;6;10;3;1;13;4;13;8;2;0;0;1;4;0;2
61;1;4;5;3;2;4;11;1;1;8;6;13;6;2;0;0;1;5;0;5
62;1;3;2;2;3;1;15;1;1;7;6;15;6;2;0;0;3;4;0;5
63;1;5;0;1;3;1;14;1;1;10;7;16;5;2;0;0;2;4;0;2
64;1;6;0;1;3;2;32;0;1;10;8;19;5;2;0;0;1;3;0;1
65;1;3;0;1;1;2;29;0;2;10;7;17;3;3;0;0;2;3;0;1
66;1;3;0;1;1;1;23;0;2;11;8;19;3;3;0;0;1;3;0;1
67;1;2;0;1;1;1;20;0;1;11;8;21;3;0;0;0;2;3;0;0
68;2;2;0;1;1;1;14;0;1;7;7;18;2;0;0;0;1;3;0;0
69;2;2;0;1;1;1;13;0;1;7;8;18;2;0;0;0;1;4;0;0
70;1;3;0;1;1;1;12;0;3;6;5;18;2;0;0;0;1;3;0;0
71;1;2;0;1;1;1;8;0;2;5;2;14;3;0;0;0;1;3;0;0
72;1;0;0;1;1;1;9;0;1;9;3;13;4;0;0;0;1;4;0;0
73;1;0;0;1;1;1;7;0;2;10;3;12;4;0;0;0;1;3;0;0
74;2;0;0;1;2;2;6;0;2;10;3;14;4;0;0;0;1;2;0;0
75;1;1;0;1;1;1;2;0;1;8;2;12;4;0;0;0;1;3;0;0
76;1;0;0;1;2;1;1;0;3;3;2;13;4;0;0;0;2;4;0;0
77;1;0;0;1;2;1;2;0;3;1;2;10;5;0;0;0;2;4;0;0
